Strategy,SR_gross,SR_net,TR_gross,TR_net,MDD_net,avg_position,avg_daily_turnover
XGB_ds4_fsY_mse_kelly,2.377622493415116,1.2616328113712865,0.3752472009192487,0.17516028164435227,-0.1285888665551982,0.8297109996889632,0.8440719468896437
XGB_ds3_fsY_mse_kelly,2.4332817429068925,1.2515361501634308,0.4517983799346348,0.20057509000263463,-0.1340322347032319,1.0639217083015398,1.0161179481190319
XGB_ds1_fsN_mse_vanilla,1.2620312464487227,1.1200301901191052,0.1468229485267354,0.1277305493547667,-0.1120410382792949,0.9984328864255342,0.0909896041188949
REG_ds1_fsY_huber_kelly,1.4906814888131976,1.110991121603261,0.3065788597256216,0.21247371096761403,-0.19063375028158125,1.3548486392899286,0.36264315772971956
XGB_ds1_fsY_mse_vanilla,1.1558353691907095,1.0199916323002793,0.13142836208610365,0.11378010292321683,-0.11764311339967148,0.989838776312664,0.08502967595651088
XGB_ds1_fsY_mse_kelly,1.8465747953319793,0.9079481450552872,0.31666065379139297,0.1349201789155039,-0.12086259342853267,1.1004973913442284,0.7830150584961099
XGB_ds1_fsN_huber_vanilla,1.0145710842355997,0.8757188776013173,0.11118057729061892,0.0938219518980501,-0.11975155488314126,0.9943844613696696,0.08521657315775091
REG_ds2_fsY_mse_vanilla,0.970200971877494,0.8372339490027604,0.11225496485478126,0.0945141515122645,-0.14151119129114031,1.0045398238677026,0.08712983348236047
REG_ds4_fsN_mse_vanilla,1.1189657771409627,0.823814241676949,0.15541040058005007,0.10777452727462444,-0.15718186507509024,1.0853313157415285,0.22304718364070256
REG_ds2_fsY_huber_vanilla,0.9604003329679264,0.8186915791400612,0.11110407254492016,0.09220706047560578,-0.14293595717381957,0.9995571900809487,0.0932157797621594
REG_ds1_fsN_mse_vanilla,0.9346738224053411,0.8058738888044223,0.1126852997569483,0.09472070965991675,-0.14071539287132806,1.0124431667136422,0.08535898318829686
XGB_ds4_fsY_mse_vanilla,0.9531146326132329,0.7975468962989688,0.10694476528145946,0.08691136254431009,-0.1275949805259553,0.9933621367029316,0.09877861075631349
XGB_ds2_fsN_mse_vanilla,0.949404522493657,0.7954651078459234,0.10344823775398071,0.08438280847823698,-0.12669072287992533,0.99911579633066,0.09429588690826025
REG_ds1_fsY_mse_vanilla,0.8724793814433589,0.7905846206391547,0.10205953230575204,0.09098442191054379,-0.15155192851514765,1.019885420826093,0.05195983857044073
XGB_ds1_fsN_huber_kelly,1.922208328994217,0.7833289906405007,0.30265418995356086,0.1044787320414795,-0.10162956570871351,0.9434523706894117,0.8804892386114416
XGB_ds4_fsN_mse_vanilla,0.9345691012312999,0.7822680473103678,0.10826168160617122,0.08788921189400534,-0.12753485027706368,1.0015548146002626,0.1006009350733643
XGB_ds2_fsY_mse_vanilla,0.9299952258597092,0.7763143368783457,0.10404959410694548,0.08441495903540597,-0.13009975848377908,0.9966303486072375,0.09719438278124744
