Model,Strategy,Sharpe_Ratio,MDD,Total_Return
LSTM_ds5_fsY_mse_vanilla,Vanilla,0.7858,-0.1352,0.0868
LSTM_ds5_fsY_mse_kelly,Kelly,0.2849,-0.1717,0.0277
LSTM_ds5_fsN_huber_vanilla,Vanilla,0.6759,-0.1478,0.0753
LSTM_ds5_fsN_huber_kelly,Kelly,0.1499,-0.1861,0.0037
LSTM_ds5_fsN_mse_vanilla,Vanilla,0.7092,-0.1424,0.0775
LSTM_ds5_fsN_mse_kelly,Kelly,-0.1287,-0.2012,-0.0388
XGB_ds5_fsY_mse_vanilla,Vanilla,0.7901,-0.1336,0.0928
XGB_ds5_fsY_mse_kelly,Kelly,1.5939,-0.09,0.2551
XGB_ds5_fsN_mse_vanilla,Vanilla,0.8393,-0.1295,0.0973
XGB_ds5_fsN_mse_kelly,Kelly,1.2289,-0.1115,0.1941
REG_ds5_fsY_mse_vanilla,Vanilla,0.7836,-0.1355,0.0868
REG_ds5_fsY_mse_kelly,Kelly,0.7509,-0.0958,0.1087
REG_ds5_fsN_mse_vanilla,Vanilla,0.5127,-0.1303,0.0524
REG_ds5_fsN_mse_kelly,Kelly,-0.3254,-0.1961,-0.0831
XGB_ds1_fsY_huber_vanilla,Vanilla,0.8657,-0.1355,0.0916
XGB_ds1_fsY_huber_kelly,Kelly,1.7961,-0.0653,0.2477
XGB_ds1_fsN_huber_vanilla,Vanilla,1.0146,-0.1155,0.1112
XGB_ds1_fsN_huber_kelly,Kelly,1.9222,-0.0908,0.3027
REG_ds1_fsY_huber_vanilla,Vanilla,0.8281,-0.1508,0.1014
REG_ds1_fsY_huber_kelly,Kelly,1.4907,-0.1861,0.3066
REG_ds1_fsN_huber_vanilla,Vanilla,0.8818,-0.1401,0.107
REG_ds1_fsN_huber_kelly,Kelly,0.4859,-0.1994,0.0712
XGB_ds2_fsY_huber_vanilla,Vanilla,0.6598,-0.1408,0.07
XGB_ds2_fsY_huber_kelly,Kelly,-0.2491,-0.2297,-0.0622
XGB_ds2_fsN_huber_vanilla,Vanilla,0.8342,-0.131,0.0906
XGB_ds2_fsN_huber_kelly,Kelly,1.1861,-0.1251,0.1795
REG_ds2_fsY_huber_vanilla,Vanilla,0.9604,-0.1396,0.1111
REG_ds2_fsY_huber_kelly,Kelly,1.0187,-0.1548,0.1522
REG_ds2_fsN_huber_vanilla,Vanilla,0.8563,-0.1357,0.0978
REG_ds2_fsN_huber_kelly,Kelly,1.0536,-0.1616,0.1536
XGB_ds3_fsY_huber_vanilla,Vanilla,0.8226,-0.1402,0.0966
XGB_ds3_fsY_huber_kelly,Kelly,1.1763,-0.0932,0.1977
XGB_ds3_fsN_huber_vanilla,Vanilla,0.8043,-0.141,0.0948
XGB_ds3_fsN_huber_kelly,Kelly,1.0588,-0.1466,0.1788
REG_ds3_fsY_huber_vanilla,Vanilla,0.737,-0.1342,0.0802
REG_ds3_fsY_huber_kelly,Kelly,0.6807,-0.1024,0.0965
REG_ds3_fsN_huber_vanilla,Vanilla,0.6588,-0.1408,0.0719
REG_ds3_fsN_huber_kelly,Kelly,-0.3112,-0.1925,-0.0839
XGB_ds4_fsY_huber_vanilla,Vanilla,0.7938,-0.1435,0.0886
XGB_ds4_fsY_huber_kelly,Kelly,1.5361,-0.096,0.2631
XGB_ds4_fsN_huber_vanilla,Vanilla,0.8076,-0.1383,0.0936
XGB_ds4_fsN_huber_kelly,Kelly,0.979,-0.1857,0.1697
REG_ds4_fsY_huber_vanilla,Vanilla,0.8121,-0.1494,0.0959
REG_ds4_fsY_huber_kelly,Kelly,1.0322,-0.2218,0.1969
REG_ds4_fsN_huber_vanilla,Vanilla,0.694,-0.1473,0.0827
REG_ds4_fsN_huber_kelly,Kelly,0.1784,-0.2084,0.0077
XGB_ds5_fsY_huber_vanilla,Vanilla,0.8392,-0.14,0.1031
XGB_ds5_fsY_huber_kelly,Kelly,0.4588,-0.1861,0.0607
XGB_ds5_fsN_huber_vanilla,Vanilla,0.7649,-0.143,0.091
XGB_ds5_fsN_huber_kelly,Kelly,0.3775,-0.1863,0.0464
REG_ds5_fsY_huber_vanilla,Vanilla,0.7639,-0.1322,0.0822
REG_ds5_fsY_huber_kelly,Kelly,1.1424,-0.1332,0.1473
REG_ds5_fsN_huber_vanilla,Vanilla,0.8208,-0.1292,0.0955
REG_ds5_fsN_huber_kelly,Kelly,0.1844,-0.2044,0.0098
